id,name,text,trans
64, ユーステス/尤斯缇斯, …………,…………
65, ユーステス/尤斯缇斯, ……行くぞ。,……出发。
66, ベアトリクス/贝阿朵丽丝, は？ どこにだよ！,什么？去哪里！
67, ユーステス/尤斯缇斯, バザラガのところだ。,去巴萨拉卡那边。
69, ゼタ/泽塔, ……あたしらも行こう。,……我们也去吧。
71, ベアトリクス/贝阿朵丽丝, あ！ 待ってくれよ！,啊！等等啊！
78, バザラガ/巴萨拉卡,…………,
79, ビィ/碧, 目、覚まさねぇなぁ……,醒、醒醒嘛……
80, ルリア/露莉亚, はい…… ゼタさん、 何かわかったでしょうか……,是的…… 泽塔小姐，你了解情况了吗……
81, ビィ/碧, どうだろうなぁ……,不知道呢……
83, , その時、艇の外から何やら 騒がしい物音が聞こえてくる。, 此时，从船外传来了一阵喧闹的声音。
84, ルリア/露莉亚, なんでしょうか……？,是什么声音呢……？
85, ビィ/碧, 誰か来たのか？ にしては騒がしいけど…… ちょっと見に行ってみるか。,是有人来了吗？虽然挺吵的……去看看吧。
89, 兵士１/士兵１, ここにいることはわかっている！,我们知道你们在这里！
90, 傭兵１/佣兵１, さっさと出てきやがれ！！,快滚出来！！
91, 兵士２/士兵２, 抵抗は無駄だぞ！, 抵抗是没用的！
92, ルリア/露莉亚, こ、これは一体……！？,这、这到底是……！？
93, ビィ/碧, こいつらって、 この前の街の奴らじゃねぇか！？,这些家伙……不是上次那个镇上的家伙吗！？
94, 兵士２/士兵２, あ！ あれは奴の仲間だぞ！ やっぱりここにいたな！？, 啊！那家伙的同伴！果然在这里吗！？
95, 傭兵２/佣兵２, やいてめぇら！ 鎧の怪物をさっさと出しやがれ！！,给我出来啊！快点把铠甲怪物叫出来！！
96, , 大勢の人々がグランサイファーを 取り囲み、怒声を浴びせかける。, 众多的人围着格兰赛福，发出愤怒的吼声。
97, ルリア/露莉亚, 鎧の、って…… ひょっとしてバザラガさんの ことでしょうか……？,铠甲……这难道是指巴萨拉卡先生吗……？
98, ビィ/碧, お、おいお前等、一体何の用だ？ とにかく落ち着いて……,喂，你们到底想怎么样？总之冷静点……
99, 傭兵１/佣兵１, うるせぇ！ このまま騎空艇ごと ぶっつぶされてぇか！？, 闭嘴！就这样把骑空艇一起毁掉吗！？
100, ビィ/碧, んなっ！？ やめろぉ！！,什么！？住手啊！！
103, ゼタ/泽塔, ちょっと！ これはどういう騒ぎ！？,喂！这是怎么回事！？
104, ベアトリクス/贝阿朵丽丝, なんだなんだぁ？ どうなってるんだよ！,怎么了怎么了？发生了什么！？
105, 兵士１/士兵１, 新手か！？ くそ……仲間を 呼んだんだな！？,新手！？该死……是找来同伴了吗！？
106, 傭兵２/佣兵２, 大人しくするつもりはねぇってか！？ どうやら、痛い目見たいらしいなぁ！,不打算老老实实的吗！？看来，你们是想吃点苦头啊！
107, ゼタ/泽塔, ……何言ってるかわかんないけど、 どうやら穏やかじゃない状況みたいね。, ……虽然不知道在说些什么，但看来情况不太妙呢。
108, 兵士２/士兵２, これ以上、脅威を 増やすわけにはいかん！,不能让威胁再扩大了！
109, ゼタ/泽塔, ……何よ、やるってわけ？, ……什么啊，要干架了吗？
110, 傭兵１/佣兵１, くそ！ やっぱりこいつらも 怪物の仲間だ！,该死！果然这些家伙也是怪物的同伴！
111, , まるで見えない何かに扇動されるように 興奮状態にある人々は、話を聞こうとも せずに武器を振り上げる。,就像被看不见的某物煽动一样，兴奋的人们举起武器，无视任何谈判。
112, ベアトリクス/贝阿朵丽丝, ……なあ、こいつら様子が変だぞ？ これってもしかして……,……嘿，这帮家伙表现有点奇怪啊？难道……
113, ユーステス/尤斯缇斯, そうかもしれないが、 今はわからない。,可能是，但现在还不清楚。
114, ベアトリクス/贝阿朵丽丝, おいおい！ そんなのんきなこと 言ってる場合か！？,喂喂！现在还能这么轻松地说话吗！？
115, ユーステス/尤斯缇斯, ……傍観するとは言っていない。,……我并不是说要袖手旁观。
116, ユーステス/尤斯缇斯, まずは、黙らせるぞ。,先让他们安静下来。
118, ベアトリクス/贝阿朵丽丝, ははっ！ そうこなくちゃな！,哈哈！是这样没错！
119, ゼタ/泽塔, あんた達！ 相手は星晶獣じゃないんだから、 手加減しなさいよ！,你们啊！对手可不是星晶兽，手下留情点啊！
120, ベアトリクス/贝阿朵丽丝, わかってるって！,知道啦！
info,,,scene_ult_chr105_ep2_q2_s10
译者,,,祁琳w
