id,name,text,trans
0-chapter_name,,優しく悲しき者,
0-synopsis,,戦場から走り去ったバザラガを追う姬塔達。バザラガは、何かに操られているかのように大鎌を振るっていたが、やがて自らの身体を抑え込むように倒れ込む。そのまま騎空艇でうなされ続けるバザラガのもとに、ゼタがやって来る。ゼタは、バザラガの異変は、自身も所属する“組織”から支給された大鎌の形が変わったせいかもしれないと推測し、自分も色々調べてみると姬塔に約束するのだった。,姬塔们追赶着从战场逃离的巴萨拉卡。巴萨拉卡似乎被某种力量操控着挥舞着大镰刀，但最终却倒在地上，仿佛在试图控制自己的身体。在骑空艇上，倒在床上的巴萨拉卡仍在不断地痛苦挣扎着，这时泽塔前来了。泽塔推测巴萨拉卡的异常可能与她自己所属的“组织”提供的大镰刀形状的改变有关，并承诺会进行调查以找出真相。
0,,人々は、バザラガの禍々しいまでの\n強さに圧倒されて立ち尽くす。, 人们被巴萨拉卡的强大所震慑，呆立不动。
1,バザラガ/巴萨拉卡,…………,…………，
64,ルリア/露莉亚,バザラガさん……\nもう三日もこの状態です。\n一体、どうしたら……,巴萨拉卡先生……\n已经三天了，\n到底该怎么办……,
64-sel1_txt,,心配だね……, 真是令人担忧……,
64-sel2_txt,,大鎌が気になる, 我在意的是那把大镰刀，
65,ルリア/露莉亚,はい……\nすごく苦しそうで……, 是的……\n看上去很痛苦……,
66,ビィ/碧,ツノ鎧はデカいし頑丈なのに……\nこんなに苦しそうにしてるのは\n初めて見たぜ……, 铁盔甲那么大那么坚固……\n却看到它如此痛苦……\n我还是第一次见到呢……,
67,？？？,おーい！\n姬塔ー？,嘿！\n姬塔？,
68,ビィ/碧,オイラも気になってんだ。\n形が変わったよな。, 我也很在意啊。\n形状好像变了。,
69,ルリア/露莉亚,これを見てると、\nなんだか嫌な気持ちがします……\n怖いと言うか……, 看着这个，\n总觉得很不舒服……\n好像很可怕……,
70,ルリア/露莉亚,前からすごい武器だなとは\n思っていましたけど、\n今はそれ以上に……, 我之前就觉得这个武器很厉害，\n但现在比以前更是……,
71,？？？,おーい！\n姬塔ー？,喂！\n姬塔？,
72,ビィ/碧,んん？\nこの声は……,嗯嗯？\n这声音是……,
73,？？？,バザラガも見当たらないけど……\nどっか出かけてんの？,巴萨拉卡也不在，\n出去了吗？,
76,ゼタ/泽塔,あ、いたいた。\nこんなところに皆集まって\nどうしたの？,啊，找到了找到了。\n大家都聚在这里\n怎么了？,
77,ルリア/露莉亚,ゼタさん！,泽塔小姐！,
78,ビィ/碧,赤い姉ちゃん！\nいいところに来てくれたぜ！\n大変なんだ！,红色的姐姐！\n你来得正是时候！\n出事了！,
79,ゼタ/泽塔,はぁ？　何よ慌てて……\nって、そこに寝てるの、バザラガ？\nどうしたの？　こいつ。,哈？你们在慌什么……\n那边躺着的，是巴萨拉卡吗？\n发生了什么事？这家伙。
80,バザラガ/巴萨拉卡,……ぅ、ぐ…………,……呃……咕……,
81,ゼタ/泽塔,……何これ、どういうこと？, ……这是怎么回事？,
82,ルリア/露莉亚,はい、実は……,是的，其实……,
83,,姬塔達は、\nバザラガの身に起きた異変について、\nゼタに説明する。, 姬塔们向泽塔解释了\n发生在巴萨拉卡身上的异常情况。
87,ゼタ/泽塔,何それ……,那个……？,
88,ビィ/碧,ってわけで、\n姉ちゃん、何か心当たりとかねぇか？,所以啊，\n姐姐，有没有什么线索或者什么的？,
89,ゼタ/泽塔,心当たりも何も、\nこんなバザラガは\nあたしだって初めて見るわよ。,线索也没有，\n像这样的巴萨拉卡\n我也是头一次见到。
90,ルリア/露莉亚,そうですか……,这样啊……,
91,ゼタ/泽塔,うーん、でも……,嗯，但是……,
92,,ゼタは、バザラガが倒れてもなお\n手離さずにいる大鎌グロウノスに\n険しい視線を向ける。, 泽塔的目光紧紧地盯着\n巴萨拉卡倒下后依然紧紧抓着的大镰刀格罗诺斯。
93,ゼタ/泽塔,これの形が変わったのは\nバザラガの様子がおかしく\nなった時？,这个形状变化是在\n巴萨拉卡状态异常的时候发生的吗？,
94,ルリア/露莉亚,はい、そう見えました。,是的，看起来是这样的。
95,ビィ/碧,むしろ、大鎌の形が変わって\nツノ鎧がおかしくなった\nって感じに見えたぜ。,倒不如说，大镰刀的形状变了\n感觉铁盔甲变得奇怪了。
96,ゼタ/泽塔,……なるほどね。,……原来如此。
97,ルリア/露莉亚,ゼタさん、何か知ってるんですか？,泽塔小姐，你知道什么吗？
98,ゼタ/泽塔,あー、そうねぇ……\nあたし達の武器って、組織から\n支給されてるものなんだけど……,啊，是啊……\n我们的武器，是组织提供的……,
99,ビィ/碧,姉ちゃん達が\n所属してるって組織か。,姐姐你们所属的组织啊。
100,ゼタ/泽塔,そうそう。\nそこの掟だからさ、\n細かいことは話せないのよね。,对对对。\n因为是组织的规定，\n所以细节我不能说。
101,ゼタ/泽塔,まあどっちにしても、\nはっきりとしたことは\nあたしにもわからないんだけどさ。,嗯，不管怎样，\n我也不清楚具体情况。
102,ルリア/露莉亚,そうですか……,是吗……,
103,ゼタ/泽塔,ルリアちゃん、そんな顔しないで。,露莉亚小姐，别这样看着我。
104,ルリア/露莉亚,でも、バザラガさんが……,但是，巴萨拉卡先生……,
105,ゼタ/泽塔,ったく……,真是的……,
106,ゼタ/泽塔,…………あんたの身体、\n特別製なんじゃなかったの？,…………你的身体，\n不是特别定制的吗？,
107,ビィ/碧,姉ちゃん、何か言ったか？,姐姐，你说了什么吗？
108,ゼタ/泽塔,ううん、なんでもない！\nとにかく、あたしも色々と\n調べてみるわ。,没什么！\n总之，我也会调查一下的。
109,ルリア/露莉亚,ありがとうございます。,谢谢你。
110,ビィ/碧,頼むな、姉ちゃん。,拜托你了，姐姐。
111,ゼタ/泽塔,あ、別にこいつのためとかじゃ\nないのよ？　ルリアちゃんや\n姬塔が困ってるからで……,啊，我可不是为了这家伙才……\n是因为露莉亚小姐和\n姬塔她们遇到了麻烦……,
112,ゼタ/泽塔,それに、あたしにとっても\n他人事じゃないかもしれないからね……,而且，对我来说\n也并不是无关紧要的事情……,
113,,小さく呟いたゼタは、\n自らが携えたアルベスの槍に\n真剣な目を向けるのだった。, 泽塔低声嘀咕着，\n将目光投向了自己携带的阿尔贝斯之枪。
info,,,scene_ult_chr105_ep2_q1_s10
译者,,,祁琳w
